代碼,寺廟名稱,寺廟地址,X座標,Y座標,lat,lnt
210,妙光寺,臺北市士林區至善路1段138巷24弄8號,304416.039,2776507.362,25.09589105,121.5395073
211,妙法寺,臺北市士林區至善路3段307號,309197.18,2779580.271,25.12345262,121.5870404
212,坤天亭,臺北市士林區延平北路8段96巷15號,298764.226,2777655.919,25.10645335,121.4835149
213,東方寺,臺北市士林區永公路245巷24號,306371.468,2779537.978,25.12317913,121.5590181
214,法雨山普宜苑,臺北市士林區至善路3段181巷5弄5號,308203.424,2779346.526,25.12138112,121.5771761
215,芝山巖惠濟宮,臺北市士林區至誠路1段326巷26號,303524,2777308,25.10315101,121.5306947
216,昭明寺,臺北市士林區中山北路5段56號,303101.288,2775092.96,25.08316882,121.526418
217,飛龍寺,臺北市士林區東山路25巷81弄62號,304115.572,2780589.16,25.1327517,121.5366893
218,財團法人台北市士林神農宮,臺北市士林區前街74號,303097.027,2776715.089,25.09781337,121.5264384
219,財團法人台北市妙德蘭若,臺北市士林區仰德大道2段41巷24號,304708.532,2777591.348,25.10566655,121.5424503
220,財團法人台北市南海普陀山慧濟寺,臺北市士林區中山北路7段190巷34之1號,304065.961,2779879.637,25.12634803,121.5361693
221,財團法人台北葫蘆寺,臺北市士林區延平北路5段285巷35號,301303.063,2775327.264,25.08534626,121.5086007
222,啟明佛寺,臺北市士林區大西路54號,302911.873,2775965.646,25.09105399,121.5245739
223,淨光寺,臺北市士林區中山北路7段190巷113之3號,304147.354,2780048.404,25.12786871,121.5369831
224,淨因寺,臺北市士林區劍南路201號,306114.201,2776960.098,25.0999161,121.5563616
225,報恩寺,臺北市士林區中山北路5段102號,303078.679,2775309.64,25.08512578,121.5262022
226,湧泉寺,臺北市士林區劍南路211號,306022.439,2776846.984,25.09889833,121.5554472
227,無極天聖殿,臺北市士林區平菁街95巷47-1號,308699.717,2780899.544,25.13538215,121.5821639
228,陽明山公館里關聖帝君廟,臺北市士林區永公路350巷55號1樓,307019.553,2779642.805,25.12410111,121.565449
229,圓明寺,臺北市士林區劍南路203巷1號,306099.641,2776904.923,25.09941853,121.556215
230,慈悟寺,臺北市士林區中山北路7段219巷167號,303695.03,2780687.058,25.13365055,121.5325226
231,慈諴宮,臺北市士林區大南路84號,302923.574,2775795.848,25.08952066,121.5246834
232,廣明寺,臺北市士林區延平北路6段116巷13號,301224.041,2775801.441,25.08962978,121.507835
233,鶴鳴精舍,臺北市士林區平菁街42巷9號,307673.876,2780298.041,25.12999154,121.5719651
234,一德福德宮,臺北市北投區中央北路4段515巷3弄16-1號,297335.08,2780062.12,25.1282219,121.4694277
235,上清宮,臺北市北投區復興三路230巷29號,300920.674,2782760.077,25.15246179,121.5050856
236,天佛禪寺,臺北市北投區溫泉路150-1號,301756.642,2781281.878,25.13908834,121.5133216
237,北投天保宮,臺北市北投區中和街446巷74號,299998.282,2782118.483,25.14670049,121.4959132
238,北投天寶聖道宮,臺北市北投區幽雅路杏林巷5之1號,302323.744,2781191.708,25.1382547,121.5189425
239,北投代天府,臺北市北投區豐年路1段35之1號,300183.413,2780701.571,25.13390263,121.4976976
240,北投區廣福宮,臺北市北投區大同街臨329之3號,300342.914,2781440.089,25.14056456,121.4993065
241,北投集福宮,臺北市北投區磺港路68號,300755.685,2780480.938,25.13189162,121.5033648
242,北投龍雲寺,臺北市北投區幽雅路杏林巷3-6號,302226.424,2781145.881,25.13784436,121.5179756
243,北投磺田福佑宮,臺北市北投區大業路667巷臨8號,300393.504,2781107.333,25.13755879,121.499796
244,台北市天竺寺,臺北市北投區幽雅路杏林巷3-7號,302239.336,2781127.677,25.13767957,121.5181029
245,台北市北投至妙寺,臺北市北投區泉源路241之2號,303507.324,2782350.856,25.1486777,121.530726
246,台北市關渡玉女宮,臺北市北投區大度路3段301巷222號,296772.348,2778867.034,25.11745032,121.4638065
247,台北慈惠堂,臺北市北投區吉利街27號,300925.686,2778965.25,25.11820243,121.5049944
248,石牌玄帝宮,臺北市北投區自強街31巷40號,301683.264,2778242.747,25.11165399,121.5124794
249,安國寺,臺北市北投區復興三路101巷10號,300770.798,2782163.027,25.14707678,121.5035769
250,佛樺靜舍,臺北市北投區湖底路20-7號,304234.255,2782254.895,25.14778538,121.5379322
251,汾陽宮,臺北市北投區石牌路1段58巷28弄臨7號,301646.239,2778329.242,25.11243612,121.5121155
252,屈原宮,臺北市北投區洲美街122號,300990.037,2776915.264,25.0996932,121.5055564
253,明山宮,臺北市北投區行義路115號,303344.579,2780062.324,25.12802301,121.5290228
254,法藏寺,臺北市北投區溫泉路156號,301779.359,2781317.415,25.13940838,121.5135482
255,桃源福德宮,臺北市北投區中央北路3段62號,298912.553,2781180.086,25.13826441,121.4851112
256,祖師禪林,臺北市北投區復興三路198號,300937.712,2782451.737,25.14967757,121.5052432
257,財團法人台北市中和堂,臺北市北投區奇岩路151號,301133.117,2780338.773,25.13059541,121.5071025
258,財團法人台北市中華佛教文化館,臺北市北投區光明路276號,301482.392,2780969.742,25.13627982,121.51059
259,財團法人台北市北投區慈生宮,臺北市北投區立農街1段321號,301127.884,2779130.578,25.11968815,121.5070056
260,財團法人台北市北投區靈山大慈寺,臺北市北投區登山路85號,301957.277,2782574.293,25.15074915,121.5153604
261,財團法人台北市北投慈后宮,臺北市北投區清江路169號,300617.44,2780079.177,25.12826922,121.501979
262,財團法人台北市法雨寺,臺北市北投區登山路108號,302194.492,2782223.872,25.1475774,121.5176999
263,財團法人台北市善光寺,臺北市北投區溫泉路銀光巷20號,302320.793,2780918.938,25.13579228,121.5189028
264,財團法人台北市關渡宮,臺北市北投區知行路360號,296795.737,2778888.108,25.11763984,121.4640391
265,財團法人台北行天宮北投分宮,臺北市北投區中央北路4段18巷50號,298166.568,2781001.865,25.13667949,121.4777065
266,財團法人陽明山五福宮,臺北市北投區行義路1號,303025.189,2779621.262,25.12405244,121.5258384
267,普濟寺（原名鐵真院）,臺北市北投區溫泉路112號,301542.773,2780936.697,25.13597943,121.5111875
268,陽明山慈惠堂,臺北市北投區奇岩路17號,301218.047,2780693.095,25.1337913,121.507958
269,陽明黃帝神宮,臺北市北投區豐年路1段20巷1號,300221.951,2780738.839,25.1342378,121.4980811
270,雲來寺,臺北市北投區公館路186號,301120.479,2780107.475,25.12850771,121.5069686
271,慈航寺,臺北市北投區中和街456號,300021.647,2781949.105,25.14517059,121.4961388
272,照明淨寺,臺北市北投區崇仰七路51號,301812.37,2780452.43,25.13159829,121.5138429
273,農禪寺,臺北市北投區大度路112號,299934.602,2779373.483,25.12192107,121.4951817
274,福安宮,臺北市北投區公館路85巷2弄2號,300908.253,2780392.81,25.13109086,121.5048745
275,福星宮,臺北市北投區自強街5巷22號,301672.912,2778110.475,25.1104602,121.5123718
276,福慈宮,臺北市北投區中央北路4段30巷68號,298011.01,2781147.507,25.1379993,121.4761688
277,福裕宮,臺北市北投區文林北路5巷58號1樓,302174.228,2777262.76,25.10278987,121.5173103
278,彌陀寺,臺北市北投區東昇路3號,302540.311,2781891.12,25.14456134,121.5211171
279,關渡萬善同公祠,臺北市北投區大度路3段336號,296900.772,2779616.25,25.1242102,121.4651055
280,靈法寺,臺北市北投區長壽路20號,300861.742,2781654.049,25.14247873,121.5044601
281,觀音禪院,臺北市北投區崇仰一路11號,301761.832,2779942.276,25.12699442,121.5133225
282,台北市北投區洲美三王宮,臺北市北投區福美路199號,300992.606,2776980.376,25.10028094,121.5055843
